Wall time,Step,Value
1743574122.3771305,0,0.4219661355018616
1743575599.7452831,1,0.5428686141967773
1743577083.1805463,2,0.4575202167034149
1743578567.4761043,3,0.5254703164100647
1743580042.1803112,4,0.19770169258117676
1743581523.8843198,5,0.353625625371933
1743583007.215827,6,0.18814890086650848
1743584487.17744,7,0.28863391280174255
1743585968.6439352,8,0.7733016014099121
1743587448.3300278,9,0.5307319760322571
1743588927.9782848,10,0.2641802430152893
1743590406.9795616,11,0.3398776352405548
1743591872.2742486,12,0.04205859825015068
1743593343.747893,13,0.1895686835050583
1743594817.5927417,14,0.2538142502307892
1743596288.4541593,15,0.3051171898841858
1743597750.1202426,16,0.368296355009079
1743599219.1902072,17,0.3780786991119385
1743600683.8480918,18,0.35527747869491577
1743602151.5521185,19,0.12451984733343124
1743603619.6175432,20,0.1657080352306366
1743605086.7564468,21,0.01969963312149048
1743606562.0344348,22,0.03898349776864052
1743608030.1621711,23,0.35933616757392883
1743609503.0432663,24,0.24957023561000824
1743610977.960666,25,0.8116795420646667
1743612452.506257,26,0.19687417149543762
1743613930.748532,27,0.05773664265871048
1743615416.4355788,28,0.2659298777580261
1743616895.4564078,29,0.6488946676254272
1743618376.0260415,30,0.12916967272758484
1743619856.0603158,31,0.096718929708004
1743621343.9708567,32,0.021228643134236336
1743623132.722756,33,0.08900456875562668
1743625150.6295788,34,0.18729667365550995
1743627155.2270472,35,0.021841755136847496
1743629093.153114,36,0.439564049243927
1743631951.0940766,37,0.008577324450016022
1743633554.4252815,38,0.03494013100862503
1743635075.2390509,39,0.03211500868201256
1743635591.6464815,40,0.31086209416389465
