Wall time,Step,Value
1743574487.1151197,0,0.4878596067428589
1743575967.0162477,1,0.35946041345596313
1743577452.5429168,2,0.3248640298843384
1743578932.1275272,3,0.3013570308685303
1743580406.4394314,4,0.28982284665107727
1743581889.8937318,5,0.25315403938293457
1743583371.0367713,6,0.234047994017601
1743584852.9625857,7,0.22036530077457428
1743586334.5570352,8,0.23203881084918976
1743587815.66183,9,0.20922496914863586
1743589293.0393932,10,0.22577139735221863
1743590770.148243,11,0.23873072862625122
1743592236.0919423,12,0.2585901916027069
1743593709.372528,13,0.21069921553134918
1743595183.1423805,14,0.23891831934452057
1743596650.0025609,15,0.19361017644405365
1743598111.9850557,16,0.20659762620925903
1743599580.6262515,17,0.22871769964694977
1743601047.4173272,18,0.19215455651283264
1743602516.2429104,19,0.19803224503993988
1743603983.4560072,20,0.21340252459049225
1743605449.7782402,21,0.2035900503396988
1743606925.0961103,22,0.1946079432964325
1743608391.6267688,23,0.1958932727575302
1743609868.652423,24,0.23855946958065033
1743611341.5191767,25,0.1874423325061798
1743612816.8313851,26,0.19428840279579163
1743614296.7047575,27,0.17103566229343414
1743615780.8369884,28,0.21579335629940033
1743617260.7509649,29,0.18493421375751495
1743618741.58759,30,0.1783539205789566
1743620223.0691159,31,0.1898449808359146
1743621718.258104,32,0.17261281609535217
1743623727.1939955,33,0.1932952105998993
1743625654.8554018,34,0.18368305265903473
1743627638.3456092,35,0.19808678328990936
1743629535.3277311,36,0.19507519900798798
1743632324.8216002,37,0.18335837125778198
1743633925.3112988,38,0.18381816148757935
1743635448.8291118,39,0.20700396597385406
